LOCATION,ADDRESS,OWNER COMPANY,SERVICE PROVIDER,NUMBER OF STATIONS,CONNECTOR,SATELLITE ADDRESS,LATITUDE,LONGITUDE
DELHI,"Chanakyapuri, New Delhi, Delhi 110021",NDMC,Delta Electronics India,1.0,Type-2,"28°35'08.2""N 77°11'26.9""E",28.585611,77.19080600000001
DELHI,"NDMC parking, opposite HDFC bank, Block M, Connaught Place, New Delhi, Delhi 110001",NDMC,Delta Electronics India,2.0,Type-2,"28°37'58.1""N 77°13'22.8""E",28.632806,77.223
DELHI,"Palika Kendra Parking, opp Jantar mantar, Sansad Marg, Police Colony, Connaught Place, New Delhi, Delhi 110001",NDMC,Delta Electronics India,1.0,Type-2,"28°37'38.3""N 77°12'59.7""E",28.627309,77.216573
DELHI,"Janpath, Connaught Place, New Delhi, Delhi 110001",NDMC,Delta Electronics India,1.0,Type-2,"28°37'17.7""N 77°13'05.7""E",28.621592,77.218239
DELHI,"Plaza Mall, Block H, Connaught Place, New Delhi, Delhi 110001",NDMC,Delta Electronics India,1.0,Type-2,"28°38'08.6""N 77°13'10.8""E",28.63573,77.219663
DELHI,"Second Ave, Block B 22, Lodi Colony, New Delhi, Delhi 110003",EESL India,Delta Electronics India,1.0,Type-2,"28°34'55.6""N 77°13'14.8""E",28.582105,77.220783
DELHI,"Lodhi Gardens,Lodhi Estate , Delhi 110003",NDMC,Delta Electronics India,1.0,Type-2,"28°35'20.5""N 77°13'03.4""E",28.589039,77.217607
DELHI,"Radial Road Number 3, Block G, Connaught Place, New Delhi, Delhi 110001",EESL India,Delta Electronics India,1.0,Type-2,"28°38'02.3""N 77°13'03.7""E",28.633958,77.217698
DELHI,"Near Ferns and Petals, Near BPCL Petrol Pump, Block D, RR5, Connaught Place",EESL India,Delta Electronics India,1.0,Type-2,"28°38'03.7""N 77°13'14.1""E",28.634346,77.220582
DELHI,"Near Woodland Showroom, Block B Connaught Place, Delhi 110001",EESL India,Delta Electronics India,1.0,Type-2,"28°38'00.5""N 77°13'14.7""E",28.633483,77.220744
DELHI,"Janpath Guest House, Connaught Place, Delhi 110001",NDMC,Delta Electronics India,1.0,Type-2,"28°37'31.6""N 77°12'53.2""E",28.625449,77.214773
DELHI,"NDMC parking, Akashvani Bhawan, Sansad Marg Area,Delhi 110001",EESL India,Delta Electronics India,1.0,Type-2,"28°37'20.7""N 77°12'41.1""E",28.622409,77.211425
DELHI,"Outside Chemsford Club, Opposite CSIR building, Rafi Marg, Delhi 110001",,Delta Electronics India,2.0,Type-2,"28°37'04.2""N 77°12'46.8""E",28.617828,77.212991
DELHI,"Firoz Shah Road, Pataudi House, New Delhi 110001",NDMC,Delta Electronics India,1.0,Type-2,"28°37'15.0""N 77°13'16.8""E",28.620824,77.221331
DELHI,"NDMC Charging Station, Vidyut Bhawan, Dr. APJ Abdul Kalam Road, Janpath Lane, New Delhi 110001",NDMC,Delta Electronics India,2.0,"1- Wall(BS1363),1-Type 2","28°36'13.9""N 77°13'11.2""E",28.603873,77.219776
DELHI,"EESL Charging Station Prithviraj Market, Rabindra Marg",EESL India,Delta Electronics India,1.0,Type-2,"28°36'02.1""N 77°13'29.3""E",28.60057,77.22480300000001
DELHI,"60, Khan Market, Rabindra Nagar, New Delhi 110003",NDMC,Delta Electronics India,1.0,Type-2,"28°36'00.3""N 77°13'37.1""E",28.600089,77.226972
